Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,256,6.76952695
mandelbrot,DaCe,256,6.88332066
mandelbrot,DaCe,256,7.12667729
mandelbrot,DaCe,256,7.14890156
mandelbrot,DaCe,256,7.06229858
mandelbrot,DaCe,256,7.14187142
mandelbrot,DaCe,256,7.07627446
mandelbrot,DaCe,256,7.14620575
mandelbrot,DaCe,256,7.14263724
mandelbrot,DaCe,256,7.13647642
mandelbrot,DaCe,256,7.22265970
mandelbrot,DaCe,256,7.20986951
mandelbrot,DaCe,256,7.17764322
mandelbrot,DaCe,256,7.15110360
mandelbrot,DaCe,256,7.04280221
mandelbrot,DaCe,256,7.10884416
mandelbrot,DaCe,256,7.06196724
mandelbrot,DaCe,256,7.15646324
mandelbrot,DaCe,256,7.07873107
mandelbrot,DaCe,256,6.95245298
[time_secs],7.13157685
[std],0.10774600
