Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,512,15.42745858
mandelbrot,DaCe,512,15.58627187
mandelbrot,DaCe,512,15.56870109
mandelbrot,DaCe,512,15.58360873
mandelbrot,DaCe,512,15.58404467
mandelbrot,DaCe,512,15.58371466
mandelbrot,DaCe,512,15.52645795
mandelbrot,DaCe,512,15.56729802
mandelbrot,DaCe,512,15.65461570
mandelbrot,DaCe,512,15.61309355
mandelbrot,DaCe,512,15.58446773
mandelbrot,DaCe,512,15.53276798
mandelbrot,DaCe,512,15.43983677
mandelbrot,DaCe,512,15.26052168
mandelbrot,DaCe,512,15.34571940
mandelbrot,DaCe,512,15.32997712
mandelbrot,DaCe,512,15.40012790
mandelbrot,DaCe,512,15.27872365
mandelbrot,DaCe,512,15.35967246
mandelbrot,DaCe,512,15.22872199
[time_secs],15.52961297
[std],0.13032923
