Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,256,7.26876503
mandelbrot,DaCe,256,7.32345418
mandelbrot,DaCe,256,7.44399853
mandelbrot,DaCe,256,7.41142361
mandelbrot,DaCe,256,7.29079147
mandelbrot,DaCe,256,7.51160018
mandelbrot,DaCe,256,7.36854154
mandelbrot,DaCe,256,7.34002537
mandelbrot,DaCe,256,7.44676333
mandelbrot,DaCe,256,7.67645418
mandelbrot,DaCe,256,7.46144436
mandelbrot,DaCe,256,7.43914114
mandelbrot,DaCe,256,7.27585609
mandelbrot,DaCe,256,7.45652307
mandelbrot,DaCe,256,7.51866105
mandelbrot,DaCe,256,7.44052395
mandelbrot,DaCe,256,7.56095333
mandelbrot,DaCe,256,7.42741704
mandelbrot,DaCe,256,7.39456566
mandelbrot,DaCe,256,7.23883527
[time_secs],7.43327909
[std],0.10503679
