Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,256,6.85730103
mandelbrot,DaCe,256,6.78975275
mandelbrot,DaCe,256,6.90811947
mandelbrot,DaCe,256,7.02443570
mandelbrot,DaCe,256,7.06046350
mandelbrot,DaCe,256,7.08384129
mandelbrot,DaCe,256,7.05536632
mandelbrot,DaCe,256,7.11254764
mandelbrot,DaCe,256,7.04716832
mandelbrot,DaCe,256,7.04420830
mandelbrot,DaCe,256,6.77617183
mandelbrot,DaCe,256,6.84886892
mandelbrot,DaCe,256,6.94446531
mandelbrot,DaCe,256,6.94494874
mandelbrot,DaCe,256,7.03291656
mandelbrot,DaCe,256,6.96178030
mandelbrot,DaCe,256,6.98119279
mandelbrot,DaCe,256,6.99280567
mandelbrot,DaCe,256,6.96563969
mandelbrot,DaCe,256,7.03070846
[time_secs],6.98699923
[std],0.09324596
