Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,512,19.38429195
mandelbrot,DaCe,512,18.88919983
mandelbrot,DaCe,512,18.99254052
mandelbrot,DaCe,512,18.86582797
mandelbrot,DaCe,512,18.96440391
mandelbrot,DaCe,512,18.93862541
mandelbrot,DaCe,512,18.77798825
mandelbrot,DaCe,512,19.42272918
mandelbrot,DaCe,512,18.85697503
mandelbrot,DaCe,512,19.15663780
mandelbrot,DaCe,512,18.92148694
mandelbrot,DaCe,512,19.29107188
mandelbrot,DaCe,512,19.04110366
mandelbrot,DaCe,512,19.34517458
mandelbrot,DaCe,512,19.32609999
mandelbrot,DaCe,512,19.15508525
mandelbrot,DaCe,512,19.35032237
mandelbrot,DaCe,512,19.23040081
mandelbrot,DaCe,512,19.04553044
mandelbrot,DaCe,512,18.86860152
[time_secs],19.04331705
[std],0.20333796
