Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,256,7.70015027
mandelbrot,DaCe,256,8.16240737
mandelbrot,DaCe,256,8.22393500
mandelbrot,DaCe,256,8.41896402
mandelbrot,DaCe,256,8.53930906
mandelbrot,DaCe,256,8.51661878
mandelbrot,DaCe,256,8.42730412
mandelbrot,DaCe,256,8.62542530
mandelbrot,DaCe,256,8.52983241
mandelbrot,DaCe,256,8.16945615
mandelbrot,DaCe,256,8.39696918
mandelbrot,DaCe,256,8.55944944
mandelbrot,DaCe,256,8.53724655
mandelbrot,DaCe,256,8.40386241
mandelbrot,DaCe,256,8.39038489
mandelbrot,DaCe,256,8.48118010
mandelbrot,DaCe,256,8.41622152
mandelbrot,DaCe,256,8.48298512
mandelbrot,DaCe,256,8.38098101
mandelbrot,DaCe,256,8.57508429
[time_secs],8.42313407
[std],0.20262208
