Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,512,25.03896874
mandelbrot,DaCe,512,25.30601475
mandelbrot,DaCe,512,25.10755001
mandelbrot,DaCe,512,25.28363102
mandelbrot,DaCe,512,25.17813620
mandelbrot,DaCe,512,24.46203280
mandelbrot,DaCe,512,24.89683032
mandelbrot,DaCe,512,24.91479881
mandelbrot,DaCe,512,25.50438961
mandelbrot,DaCe,512,25.52850349
mandelbrot,DaCe,512,25.44249296
mandelbrot,DaCe,512,24.92669079
mandelbrot,DaCe,512,25.49384547
mandelbrot,DaCe,512,23.80613004
mandelbrot,DaCe,512,24.99035073
mandelbrot,DaCe,512,25.17530317
mandelbrot,DaCe,512,25.11574910
mandelbrot,DaCe,512,25.48844651
mandelbrot,DaCe,512,25.38165025
mandelbrot,DaCe,512,24.41406907
[time_secs],25.14552613
[std],0.42403817
