Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,256,6.26376022
mandelbrot,DaCe,256,6.15946667
mandelbrot,DaCe,256,6.34093364
mandelbrot,DaCe,256,6.18112836
mandelbrot,DaCe,256,6.19490485
mandelbrot,DaCe,256,6.22341289
mandelbrot,DaCe,256,6.33634267
mandelbrot,DaCe,256,6.46412970
mandelbrot,DaCe,256,6.36761760
mandelbrot,DaCe,256,6.30825606
mandelbrot,DaCe,256,6.21651822
mandelbrot,DaCe,256,6.24510658
mandelbrot,DaCe,256,6.06537693
mandelbrot,DaCe,256,6.30905440
mandelbrot,DaCe,256,6.28415614
mandelbrot,DaCe,256,6.34303435
mandelbrot,DaCe,256,6.12766421
mandelbrot,DaCe,256,6.28202944
mandelbrot,DaCe,256,6.19495615
mandelbrot,DaCe,256,6.06886664
[time_secs],6.25443340
[std],0.09899962
