Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,512,16.20294691
mandelbrot,DaCe,512,16.34256816
mandelbrot,DaCe,512,16.34954568
mandelbrot,DaCe,512,16.11183060
mandelbrot,DaCe,512,16.06453994
mandelbrot,DaCe,512,16.34775188
mandelbrot,DaCe,512,16.20198041
mandelbrot,DaCe,512,16.20310368
mandelbrot,DaCe,512,16.20473700
mandelbrot,DaCe,512,16.07162490
mandelbrot,DaCe,512,16.27067753
mandelbrot,DaCe,512,16.06995551
mandelbrot,DaCe,512,16.09660265
mandelbrot,DaCe,512,16.22682591
mandelbrot,DaCe,512,16.14379462
mandelbrot,DaCe,512,16.04582979
mandelbrot,DaCe,512,16.11920206
mandelbrot,DaCe,512,16.50747231
mandelbrot,DaCe,512,15.94086840
mandelbrot,DaCe,512,16.40764335
[time_secs],16.20246366
[std],0.13756768
