Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,256,7.10832306
mandelbrot,DaCe,256,7.47927422
mandelbrot,DaCe,256,7.64292922
mandelbrot,DaCe,256,7.56794117
mandelbrot,DaCe,256,7.53482651
mandelbrot,DaCe,256,7.82249179
mandelbrot,DaCe,256,7.41087618
mandelbrot,DaCe,256,7.68644405
mandelbrot,DaCe,256,7.58645163
mandelbrot,DaCe,256,7.75116726
mandelbrot,DaCe,256,7.76240403
mandelbrot,DaCe,256,7.67838478
mandelbrot,DaCe,256,7.76564611
mandelbrot,DaCe,256,7.76617532
mandelbrot,DaCe,256,7.70518379
mandelbrot,DaCe,256,7.80030270
mandelbrot,DaCe,256,7.65515085
mandelbrot,DaCe,256,7.63557055
mandelbrot,DaCe,256,7.70598398
mandelbrot,DaCe,256,7.58750780
[time_secs],7.66676782
[std],0.16005421
