Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,512,24.02213124
mandelbrot,DaCe,512,24.34490089
mandelbrot,DaCe,512,24.57242193
mandelbrot,DaCe,512,24.23295601
mandelbrot,DaCe,512,24.14777856
mandelbrot,DaCe,512,24.01697818
mandelbrot,DaCe,512,24.58840244
mandelbrot,DaCe,512,24.61212451
mandelbrot,DaCe,512,24.70600889
mandelbrot,DaCe,512,24.09648209
mandelbrot,DaCe,512,24.46105280
mandelbrot,DaCe,512,24.61101566
mandelbrot,DaCe,512,24.48706187
mandelbrot,DaCe,512,24.32641608
mandelbrot,DaCe,512,24.18135768
mandelbrot,DaCe,512,24.55210225
mandelbrot,DaCe,512,24.77752531
mandelbrot,DaCe,512,24.00357826
mandelbrot,DaCe,512,24.39113327
mandelbrot,DaCe,512,24.34654359
[time_secs],24.36883843
[std],0.23464942
