Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,512,15.60654994
mandelbrot,DaCe,512,15.45361570
mandelbrot,DaCe,512,15.37752611
mandelbrot,DaCe,512,15.54133713
mandelbrot,DaCe,512,15.42724689
mandelbrot,DaCe,512,15.49090300
mandelbrot,DaCe,512,15.44882886
mandelbrot,DaCe,512,15.55073938
mandelbrot,DaCe,512,15.65439863
mandelbrot,DaCe,512,15.39023795
mandelbrot,DaCe,512,15.48177140
mandelbrot,DaCe,512,15.43189188
mandelbrot,DaCe,512,15.52925351
mandelbrot,DaCe,512,15.57191995
mandelbrot,DaCe,512,15.46697606
mandelbrot,DaCe,512,15.42730517
mandelbrot,DaCe,512,15.40324572
mandelbrot,DaCe,512,15.40093646
mandelbrot,DaCe,512,15.36099817
mandelbrot,DaCe,512,15.38439299
[time_secs],15.45122228
[std],0.07997147
