Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,512,15.65416306
mandelbrot,DaCe,512,15.68850977
mandelbrot,DaCe,512,15.77448644
mandelbrot,DaCe,512,15.69151042
mandelbrot,DaCe,512,15.66410281
mandelbrot,DaCe,512,15.60367952
mandelbrot,DaCe,512,15.46156757
mandelbrot,DaCe,512,15.47639239
mandelbrot,DaCe,512,15.83350876
mandelbrot,DaCe,512,15.60725347
mandelbrot,DaCe,512,15.61125173
mandelbrot,DaCe,512,15.63732520
mandelbrot,DaCe,512,15.84340158
mandelbrot,DaCe,512,15.48520834
mandelbrot,DaCe,512,15.58864681
mandelbrot,DaCe,512,15.69023853
mandelbrot,DaCe,512,15.52881560
mandelbrot,DaCe,512,15.53563884
mandelbrot,DaCe,512,15.73470027
mandelbrot,DaCe,512,15.49403277
[time_secs],15.62428847
[std],0.11073848
