Program,Optimization,Problem_Size,Runtime_sec
mandelbrot,DaCe,512,33.01403121
mandelbrot,DaCe,512,33.62657189
mandelbrot,DaCe,512,33.80079676
mandelbrot,DaCe,512,33.03686716
mandelbrot,DaCe,512,32.84508489
mandelbrot,DaCe,512,33.55049867
mandelbrot,DaCe,512,32.90611836
mandelbrot,DaCe,512,33.43182362
mandelbrot,DaCe,512,33.19346149
mandelbrot,DaCe,512,33.99186965
mandelbrot,DaCe,512,33.86269403
mandelbrot,DaCe,512,34.12180012
mandelbrot,DaCe,512,33.95253643
mandelbrot,DaCe,512,32.39434794
mandelbrot,DaCe,512,33.40543969
mandelbrot,DaCe,512,33.57082486
mandelbrot,DaCe,512,33.02256966
mandelbrot,DaCe,512,33.95218526
mandelbrot,DaCe,512,33.61561130
mandelbrot,DaCe,512,34.23651756
[time_secs],33.56066177
[std],0.48054809
